id;release;ReleaseHumanDate;#TotalChanges;growth;maintenance;Norm. growth;Norm.maintenance;growth;maintenance;schemaSize;firstCommit;firstCommitDate;lastCommit;lastCommitDate;#Commits
91;refs/tags/cvs/attic/before-EG-patch;24-May-2010;3;-;3;0;0.011952191;-;Low;72;1275482069.sql;1275482069;1275570275.sql;1275570275;5
92;refs/tags/cvs/release/ensemblgenomes/5-58;4-Jun-2010;0;-;-;0;0;-;-;72;1275992493.sql;1275992493;1275992493.sql;1275992493;1
93;refs/tags/cvs/release/ensemblgenomes/6-59;16-Aug-2010;6;-;6;0;0.023904382;-;Low;72;1282743799.sql;1282743799;1283355642.sql;1283355642;5
94;refs/tags/cvs/release/vega/59-1;18-Oct-2010;5;4;1;0.114285714;0.003984064;Low;Low;73;1289470169.sql;1289470169;1290616176.sql;1290616176;4
95;refs/tags/cvs/release/ensemblgenomes/7-60;2-Dec-2010;16;4;10;0.114285714;0.039840637;Low;Low;72;1297182856.sql;1297182856;1297262687.sql;1297262687;3
96;refs/tags/cvs/release/ensemblgenomes/8-61;10-Feb-2011;14;8;6;0.228571429;0.023904382;Low;Low;73;1297852436.sql;1297852436;1299085928.sql;1299085928;7
97;refs/tags/cvs/release/vega/61-1;4-Mar-2011;2;-;2;0;0.007968127;-;Low;73;1299508104.sql;1299508104;1301662610.sql;1301662610;9
98;refs/tags/cvs/release/ensemblgenomes/9-62;19-Apr-2011;31;27;4;0.771428571;0.015936255;High;Low;78;1304425490.sql;1304425490;1314010681.sql;1314010681;16
99;refs/tags/cvs/release/ensembl/59;25-Aug-2011;0;-;-;0;0;-;-;78;1314879088.sql;1314879088;1314879088.sql;1314879088;1
100;refs/tags/cvs/release/ensemblgenomes/10-63;11-Sep-2011;55;24;31;0.685714286;0.123505976;Medium;Medium;72;1317048722.sql;1317048722;1317220974.sql;1317220974;3
101;refs/tags/cvs/release/ensembl/62;29-Sep-2011;8;8;0;0.228571429;0;Low;Low;73;1317377178.sql;1317377178;1317377178.sql;1317377178;1
102;refs/tags/cvs/attic/projection_genebuild_2011_07;19-Oct-2011;0;-;-;0;0;-;-;73;1321632376.sql;1321632376;1321632376.sql;1321632376;1
103;refs/tags/cvs/release/ensemblgenomes/12-65;25-Nov-2011;6;-;6;0;0.023904382;-;Low;73;1323363652.sql;1323363652;1326149522.sql;1326149522;8
104;refs/tags/cvs/release/ensemblgenomes/13-66;27-Feb-2012;8;6;2;0.171428571;0.007968127;Low;Low;74;1330430428.sql;1330430428;1334240451.sql;1334240451;5
105;refs/tags/cvs/attic/pre-merge-eg-misc-scripts;10-May-2012;0;-;-;0;0;-;-;74;1337696614.sql;1337696614;1337696614.sql;1337696614;1
106;refs/tags/cvs/attic/tagged-annotext-devel;31-May-2012;13;8;1;0.228571429;0.003984064;Low;Low;75;1338548383.sql;1338548383;1341480577.sql;1341480577;6
107;refs/tags/cvs/release/ensemblgenomes/15-68;6-Aug-2012;0;-;-;0;0;-;-;75;1344506938.sql;1344506938;1344507033.sql;1344507033;2
108;refs/tags/cvs/release/ensemblgenomes/16-69;24-Oct-2012;12;2;8;0.057142857;0.03187251;Low;Low;75;1351169612.sql;1351169612;1352127812.sql;1352127812;6
109;refs/tags/cvs/release/ensembl/66;17-Dec-2012;0;-;-;0;0;-;-;75;1359737080.sql;1359737080;1359737080.sql;1359737080;1
110;refs/tags/cvs/attic/tag_associated_xrefs_pre_HEAD_merge;4-Feb-2013;0;-;-;0;0;-;-;75;1359980809.sql;1359980809;1359980809.sql;1359980809;1
111;refs/tags/cvs/release/ensemblgenomes/18-71;15-Apr-2013;7;7;0;0.2;0;Low;Low;77;1366039886.sql;1366039886;1366041307.sql;1366041307;3
112;refs/tags/cvs/attic/branch-ensembl-71-mapping_with_biotype;16-Apr-2013;5;2;1;0.057142857;0.003984064;Low;Low;77;1366272021.sql;1366272021;1369927911.sql;1369927911;4
113;refs/tags/cvs/release/ensemblgenomes/19-72;3-Jun-2013;0;-;-;0;0;-;-;77;1370531935.sql;1370531935;1370531935.sql;1370531935;1
114;refs/tags/cvs/attic/branch-expression_data;12-Jun-2013;0;-;-;0;0;-;-;77;1372321274.sql;1372321274;1372321274.sql;1372321274;1
115;refs/tags/cvs/release/ensembl/72;4-Jul-2013;8;3;5;0.085714286;0.019920319;Low;Low;79;1374683057.sql;1374683057;1375458692.sql;1375458692;4
116;refs/tags/cvs/attic/unconventional_removal;27-Aug-2013;3;-;3;0;0.011952191;-;Low;78;1377614620.sql;1377614620;1377614620.sql;1377614620;1
117;refs/tags/cvs/release/ensemblgenomes/20-73;30-Aug-2013;20;-;20;0;0.079681275;-;Medium;74;1378217799.sql;1378217799;1378217799.sql;1378217799;1
118;refs/tags/cvs/attic/tag-ensemblgenomes-20-73;6-Sep-2013;0;-;-;0;0;-;-;74;1378977989.sql;1378977989;1378977989.sql;1378977989;1
119;refs/tags/cvs/attic/branch-e73-db-portability;11-Oct-2013;0;-;-;0;0;-;-;74;1382520560.sql;1382520560;1382520560.sql;1382520560;1
120;refs/tags/cvs/release/ensembl/73;12-Nov-2013;1;1;0;0.028571429;0;Low;Low;74;1385398190.sql;1385398190;1385633251.sql;1385633251;2
121;refs/tags/cvs/release/ensembl/74;4-Dec-2013;53;-;53;0;0.211155378;-;High;73;1386263554.sql;1386263554;1485786911.sql;1485786911;59
